route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
3,DI,3_1_A_DI_1601_06_10,Terminus Longueuil,1,1601_1,3_1_A,2
1,DI,1_1_R_DI_1601_06_45,Terminus Longueuil,0,1601_2,1_1_R,1
1,DI,1_1_A_DI_1601_07_14,Terminus Longueuil,1,1601_2,1_1_A,1
3,DI,3_1_R_DI_1601_07_51,Montgomery,0,1601_3,3_1_R,2
3,DI,3_1_A_DI_1601_08_10,Terminus Longueuil,1,1601_3,3_1_A,2
1,DI,1_1_R_DI_1601_08_45,Terminus Longueuil,0,1601_4,1_1_R,1
1,DI,1_1_A_DI_1601_09_14,Terminus Longueuil,1,1601_4,1_1_A,1
3,DI,3_1_R_DI_1601_09_51,Montgomery,0,1601_5,3_1_R,2
3,DI,3_1_A_DI_1601_10_10,Terminus Longueuil,1,1601_5,3_1_A,2
1,DI,1_1_R_DI_1601_10_45,Terminus Longueuil,0,1601_6,1_1_R,1
1,DI,1_1_A_DI_1601_11_14,Terminus Longueuil,1,1601_6,1_1_A,1
3,DI,3_1_R_DI_1601_11_51,Montgomery,0,1601_7,3_1_R,2
3,DI,3_1_A_DI_1601_12_10,Terminus Longueuil,1,1601_7,3_1_A,2
1,DI,1_1_R_DI_1601_12_45,Terminus Longueuil,0,1601_8,1_1_R,1
1,DI,1_1_A_DI_1601_13_14,Terminus Longueuil,1,1601_8,1_1_A,1
3,DI,3_1_R_DI_1601_13_51,Montgomery,0,1601_9,3_1_R,2
3,DI,3_1_A_DI_1601_14_10,Terminus Longueuil,1,1601_9,3_1_A,2
1,DI,1_1_R_DI_1601_14_45,Terminus Longueuil,0,1601_10,1_1_R,1
1,DI,1_1_A_DI_1601_15_14,Terminus Longueuil,1,1601_10,1_1_A,1
3,DI,3_1_R_DI_1601_15_51,Montgomery,0,1601_11,3_1_R,2
3,DI,3_1_A_DI_1601_16_10,Terminus Longueuil,1,1601_11,3_1_A,2
1,DI,1_1_R_DI_1601_16_45,Terminus Longueuil,0,1601_12,1_1_R,1
1,DI,1_1_A_DI_1601_17_14,Terminus Longueuil,1,1601_12,1_1_A,1
